Getting Data Stream Seconds; Getting Data Stream Milliseconds;Send Data Stream Seconds;Send Data Stream Milliseconds;Difference Stream;
1468115015;314;1468115015;328;14;
1468115015;354;1468115015;369;14;
1468115015;395;1468115015;408;13;
1468115015;434;1468115015;448;13;
1468115015;474;1468115015;488;13;
1468115015;514;1468115015;528;14;
1468115015;554;1468115015;569;14;
1468115015;595;1468115015;608;13;
1468115015;634;1468115015;648;13;
1468115015;674;1468115015;688;13;
1468115015;714;1468115015;728;14;
1468115015;754;1468115015;768;13;
1468115015;794;1468115015;808;13;
1468115015;834;1468115015;848;13;
1468115015;874;1468115015;888;13;
1468115015;914;1468115015;928;14;
1468115015;954;1468115015;969;14;
1468115015;995;1468115016;8;14;
1468115016;34;1468115016;48;13;
1468115016;74;1468115016;88;13;
1468115016;114;1468115016;128;14;
1468115016;154;1468115016;168;13;
1468115016;194;1468115016;208;13;
1468115016;234;1468115016;248;13;
1468115016;274;1468115016;288;13;
1468115016;314;1468115016;328;14;
1468115016;354;1468115016;368;13;
1468115016;394;1468115016;408;13;
1468115016;434;1468115016;448;13;
1468115016;474;1468115016;488;13;
1468115016;514;1468115016;528;14;
1468115016;554;1468115016;568;13;
1468115016;594;1468115016;608;13;
1468115016;634;1468115016;648;13;
1468115016;674;1468115016;688;13;
1468115016;714;1468115016;728;14;
1468115016;754;1468115016;768;13;
1468115016;794;1468115016;808;13;
1468115016;834;1468115016;848;13;
1468115016;874;1468115016;888;13;
1468115016;914;1468115016;928;14;
1468115016;954;1468115016;969;14;
1468115016;995;1468115017;9;14;
1468115017;35;1468115017;48;13;
1468115017;74;1468115017;88;13;
1468115017;114;1468115017;128;13;
1468115017;154;1468115017;168;13;
1468115017;194;1468115017;209;14;
1468115017;235;1468115017;249;13;
1468115017;275;1468115017;289;13;
1468115017;315;1468115017;328;13;
1468115017;354;1468115017;369;14;
1468115017;395;1468115017;409;13;
1468115017;435;1468115017;448;13;
1468115017;474;1468115017;488;13;
1468115017;514;1468115017;528;14;
1468115017;554;1468115017;569;14;
1468115017;595;1468115017;609;13;
1468115017;635;1468115017;648;13;
1468115017;674;1468115017;688;13;
1468115017;715;1468115017;728;13;
1468115017;754;1468115017;769;14;
1468115017;795;1468115017;809;13;
1468115017;835;1468115017;848;13;
1468115017;874;1468115017;888;13;
1468115017;914;1468115017;928;14;
1468115017;954;1468115017;969;14;
1468115017;995;1468115018;9;14;
1468115018;35;1468115018;48;13;
1468115018;74;1468115018;88;13;
1468115018;114;1468115018;128;14;
1468115018;154;1468115018;169;14;
1468115018;195;1468115018;209;13;
1468115018;235;1468115018;248;13;
1468115018;274;1468115018;288;13;
1468115018;314;1468115018;328;14;
1468115018;354;1468115018;369;14;
1468115018;395;1468115018;409;13;
1468115018;435;1468115018;448;13;
1468115018;474;1468115018;488;13;
1468115018;514;1468115018;528;14;
1468115018;554;1468115018;569;14;
1468115018;595;1468115018;609;13;
1468115018;635;1468115018;648;13;
1468115018;674;1468115018;688;13;
1468115018;714;1468115018;728;14;
1468115018;754;1468115018;769;14;
1468115018;795;1468115018;809;13;
1468115018;835;1468115018;848;13;
1468115018;874;1468115018;888;13;
1468115018;914;1468115018;928;14;
1468115018;954;1468115018;969;14;
1468115018;995;1468115019;9;14;
1468115019;35;1468115019;48;13;
1468115019;74;1468115019;88;13;
1468115019;114;1468115019;128;14;
1468115019;154;1468115019;169;14;
