Start Read Seconds;Start Read Milliseconds;End Read Seconds;End Read Milliseconds;Difference
1468102563;122;1468102563;124;1
1468102563;124;1468102563;126;1
1468102563;127;1468102563;129;1
1468102563;129;1468102563;131;1
1468102563;132;1468102563;134;1
1468102563;135;1468102563;136;1
1468102563;137;1468102563;139;1
1468102563;140;1468102563;141;1
1468102563;142;1468102563;144;1
1468102563;145;1468102563;147;1
1468102563;147;1468102563;149;1
1468102563;150;1468102563;152;1
1468102563;152;1468102563;154;1
1468102563;155;1468102563;157;1
1468102563;158;1468102563;159;1
1468102563;160;1468102563;162;1
1468102563;163;1468102563;164;1
1468102563;165;1468102563;167;1
1468102563;168;1468102563;170;1
1468102563;170;1468102563;172;1
1468102563;173;1468102563;175;1
1468102563;175;1468102563;177;1
1468102563;178;1468102563;180;1
1468102563;180;1468102563;182;1
1468102563;183;1468102563;185;1
1468102563;186;1468102563;187;1
1468102563;188;1468102563;190;1
1468102563;191;1468102563;193;1
1468102563;193;1468102563;195;1
1468102563;196;1468102563;198;1
1468102563;199;1468102563;200;1
1468102563;201;1468102563;203;1
1468102563;204;1468102563;205;1
1468102563;206;1468102563;208;1
1468102563;209;1468102563;211;1
1468102563;212;1468102563;213;1
1468102563;214;1468102563;216;1
1468102563;217;1468102563;219;1
1468102563;219;1468102563;221;1
1468102563;222;1468102563;224;1
1468102563;224;1468102563;226;1
1468102563;227;1468102563;229;1
1468102563;230;1468102563;231;1
1468102563;233;1468102563;235;1
1468102563;236;1468102563;237;1
1468102563;238;1468102563;240;1
1468102563;241;1468102563;242;1
1468102563;243;1468102563;245;1
1468102563;246;1468102563;248;1
1468102563;248;1468102563;250;1
1468102563;251;1468102563;253;1
1468102563;254;1468102563;255;1
1468102563;256;1468102563;258;1
1468102563;259;1468102563;261;1
1468102563;261;1468102563;263;1
1468102563;264;1468102563;266;1
1468102563;267;1468102563;269;2
1468102563;269;1468102563;271;1
1468102563;272;1468102563;274;1
1468102563;274;1468102563;276;1
1468102563;277;1468102563;279;1
1468102563;280;1468102563;281;1
1468102563;282;1468102563;284;1
1468102563;285;1468102563;287;1
1468102563;287;1468102563;289;1
1468102563;290;1468102563;292;1
1468102563;292;1468102563;294;1
1468102563;295;1468102563;297;1
1468102563;298;1468102563;299;1
1468102563;300;1468102563;302;1
1468102563;303;1468102563;304;1
1468102563;305;1468102563;307;1
1468102563;308;1468102563;310;1
1468102563;310;1468102563;312;1
1468102563;313;1468102563;315;1
1468102563;316;1468102563;317;1
1468102563;318;1468102563;320;1
1468102563;321;1468102563;322;1
1468102563;323;1468102563;325;1
1468102563;326;1468102563;328;1
1468102563;328;1468102563;330;1
1468102563;331;1468102563;333;1
1468102563;334;1468102563;335;1
1468102563;336;1468102563;338;1
1468102563;339;1468102563;341;1
1468102563;341;1468102563;343;1
1468102563;344;1468102563;346;1
1468102563;347;1468102563;348;1
1468102563;349;1468102563;351;1
1468102563;352;1468102563;354;1
1468102563;354;1468102563;356;1
1468102563;357;1468102563;359;1
1468102563;360;1468102563;361;1
1468102563;362;1468102563;364;1
1468102563;365;1468102563;366;1
1468102563;367;1468102563;369;1
1468102563;370;1468102563;372;1
1468102563;372;1468102563;374;1
1468102563;375;1468102563;377;1
1468102563;377;1468102563;379;1
1468102563;380;1468102563;382;1
1468102563;382;1468102563;384;1
1468102563;385;1468102563;387;1
1468102563;387;1468102563;389;1
1468102563;390;1468102563;392;1
1468102563;392;1468102563;394;1
1468102563;395;1468102563;397;1
1468102563;397;1468102563;399;1
1468102563;400;1468102563;402;1
1468102563;403;1468102563;404;1
1468102563;405;1468102563;407;1
1468102563;408;1468102563;410;1
1468102563;410;1468102563;412;1
1468102563;413;1468102563;415;1
1468102563;416;1468102563;417;1
1468102563;418;1468102563;420;1
1468102563;421;1468102563;422;1
1468102563;423;1468102563;425;1
1468102563;426;1468102563;428;1
1468102563;429;1468102563;430;1
1468102563;431;1468102563;433;1
1468102563;434;1468102563;435;1
1468102563;436;1468102563;438;1
