Period in ms;Seconds;Milliseconds;
50;1468102244;587;
50;1468102244;637;
50;1468102244;687;
50;1468102244;737;
50;1468102244;787;
50;1468102244;837;
50;1468102244;887;
50;1468102244;937;
50;1468102244;987;
50;1468102245;37;
50;1468102245;87;
50;1468102245;137;
50;1468102245;187;
50;1468102245;237;
50;1468102245;287;
50;1468102245;337;
50;1468102245;387;
50;1468102245;437;
50;1468102245;487;
50;1468102245;537;
50;1468102245;587;
50;1468102245;637;
50;1468102245;687;
50;1468102245;737;
50;1468102245;787;
50;1468102245;837;
50;1468102245;887;
50;1468102245;937;
50;1468102245;987;
50;1468102246;37;
50;1468102246;87;
50;1468102246;137;
50;1468102246;187;
50;1468102246;237;
50;1468102246;287;
50;1468102246;337;
50;1468102246;387;
50;1468102246;437;
50;1468102246;487;
50;1468102246;537;
50;1468102246;587;
50;1468102246;637;
50;1468102246;687;
50;1468102246;737;
50;1468102246;787;
50;1468102246;837;
50;1468102246;887;
50;1468102246;937;
50;1468102246;987;
50;1468102247;37;
50;1468102247;87;
50;1468102247;137;
50;1468102247;187;
50;1468102247;237;
50;1468102247;287;
50;1468102247;337;
50;1468102247;387;
50;1468102247;437;
50;1468102247;487;
50;1468102247;537;
50;1468102247;587;
50;1468102247;637;
50;1468102247;687;
50;1468102247;737;
50;1468102247;787;
50;1468102247;837;
50;1468102247;887;
50;1468102247;937;
50;1468102247;987;
50;1468102248;37;
50;1468102248;87;
50;1468102248;137;
50;1468102248;187;
50;1468102248;237;
50;1468102248;287;
50;1468102248;337;
50;1468102248;387;
50;1468102248;437;
50;1468102248;487;
50;1468102248;537;
50;1468102248;587;
50;1468102248;637;
50;1468102248;687;
50;1468102248;737;
50;1468102248;787;
50;1468102248;837;
50;1468102248;887;
50;1468102248;937;
50;1468102248;987;
50;1468102249;37;
50;1468102249;87;
50;1468102249;137;
50;1468102249;187;
50;1468102249;237;
50;1468102249;287;
50;1468102249;337;
50;1468102249;388;
50;1468102249;437;
50;1468102249;487;
50;1468102249;537;
50;1468102249;587;
50;1468102249;637;
50;1468102249;687;
50;1468102249;737;
50;1468102249;787;
50;1468102249;837;
50;1468102249;887;
50;1468102249;937;
50;1468102249;987;
50;1468102250;37;
50;1468102250;87;
50;1468102250;137;
50;1468102250;187;
50;1468102250;237;
50;1468102250;287;
50;1468102250;337;
50;1468102250;387;
50;1468102250;437;
50;1468102250;487;
50;1468102250;537;
50;1468102250;587;
50;1468102250;637;
50;1468102250;687;
50;1468102250;737;
50;1468102250;787;
50;1468102250;837;
50;1468102250;887;
50;1468102250;937;
50;1468102250;987;
50;1468102251;37;
50;1468102251;87;
50;1468102251;137;
50;1468102251;187;
50;1468102251;237;
50;1468102251;287;
50;1468102251;337;
50;1468102251;387;
50;1468102251;437;
50;1468102251;487;
50;1468102251;537;
50;1468102251;587;
50;1468102251;637;
50;1468102251;687;
50;1468102251;737;
50;1468102251;787;
50;1468102251;837;
50;1468102251;887;
50;1468102251;937;
50;1468102251;987;
50;1468102252;37;
50;1468102252;87;
50;1468102252;137;
50;1468102252;187;
50;1468102252;237;
50;1468102252;287;
50;1468102252;337;
50;1468102252;387;
50;1468102252;437;
50;1468102252;487;
50;1468102252;537;
50;1468102252;587;
50;1468102252;637;
50;1468102252;687;
50;1468102252;737;
50;1468102252;787;
50;1468102252;837;
50;1468102252;887;
50;1468102252;937;
50;1468102252;987;
50;1468102253;37;
50;1468102253;87;
50;1468102253;137;
50;1468102253;187;
50;1468102253;237;
50;1468102253;287;
50;1468102253;337;
50;1468102253;387;
50;1468102253;437;
50;1468102253;487;
50;1468102253;537;
50;1468102253;587;
50;1468102253;637;
50;1468102253;687;
50;1468102253;737;
50;1468102253;787;
50;1468102253;837;
50;1468102253;887;
50;1468102253;937;
50;1468102253;987;
50;1468102254;37;
50;1468102254;87;
50;1468102254;137;
50;1468102254;187;
50;1468102254;237;
50;1468102254;287;
50;1468102254;337;
50;1468102254;387;
50;1468102254;437;
50;1468102254;487;
50;1468102254;537;
50;1468102254;587;
50;1468102254;637;
50;1468102254;687;
50;1468102254;737;
50;1468102254;787;
50;1468102254;837;
50;1468102254;887;
50;1468102254;937;
50;1468102254;987;
50;1468102255;37;
50;1468102255;87;
50;1468102255;137;
50;1468102255;187;
50;1468102255;237;
50;1468102255;287;
50;1468102255;337;
50;1468102255;387;
50;1468102255;437;
50;1468102255;487;
50;1468102255;537;
50;1468102255;587;
50;1468102255;637;
50;1468102255;687;
50;1468102255;737;
50;1468102255;787;
50;1468102255;837;
50;1468102255;887;
50;1468102255;937;
50;1468102255;987;
50;1468102256;37;
50;1468102256;87;
50;1468102256;137;
50;1468102256;187;
50;1468102256;237;
50;1468102256;287;
50;1468102256;337;
50;1468102256;387;
50;1468102256;437;
50;1468102256;487;
50;1468102256;537;
50;1468102256;587;
50;1468102256;637;
50;1468102256;687;
50;1468102256;737;
50;1468102256;787;
50;1468102256;837;
50;1468102256;887;
50;1468102256;937;
50;1468102256;987;
50;1468102257;37;
50;1468102257;87;
50;1468102257;137;
50;1468102257;187;
50;1468102257;237;
50;1468102257;287;
50;1468102257;337;
50;1468102257;387;
50;1468102257;437;
50;1468102257;487;
50;1468102257;537;
50;1468102257;587;
50;1468102257;637;
50;1468102257;687;
50;1468102257;737;
50;1468102257;787;
50;1468102257;837;
50;1468102257;887;
50;1468102257;937;
50;1468102257;987;
50;1468102258;37;
50;1468102258;87;
50;1468102258;137;
50;1468102258;187;
50;1468102258;237;
50;1468102258;287;
50;1468102258;337;
50;1468102258;387;
50;1468102258;437;
50;1468102258;487;
50;1468102258;537;
50;1468102258;587;
50;1468102258;637;
50;1468102258;687;
50;1468102258;737;
50;1468102258;787;
50;1468102258;837;
50;1468102258;887;
50;1468102258;937;
50;1468102258;987;
50;1468102259;37;
50;1468102259;87;
50;1468102259;137;
50;1468102259;187;
50;1468102259;237;
50;1468102259;287;
50;1468102259;337;
50;1468102259;387;
50;1468102259;437;
50;1468102259;487;
50;1468102259;537;
50;1468102259;587;
50;1468102259;637;
50;1468102259;687;
50;1468102259;737;
50;1468102259;787;
50;1468102259;837;
50;1468102259;887;
50;1468102259;937;
50;1468102259;987;
50;1468102260;37;
50;1468102260;87;
50;1468102260;137;
50;1468102260;187;
50;1468102260;237;
50;1468102260;287;
50;1468102260;337;
50;1468102260;387;
50;1468102260;437;
50;1468102260;487;
50;1468102260;537;
50;1468102260;587;
50;1468102260;637;
50;1468102260;687;
50;1468102260;737;
50;1468102260;787;
50;1468102260;837;
50;1468102260;887;
50;1468102260;937;
50;1468102260;987;
50;1468102261;37;
50;1468102261;87;
50;1468102261;137;
50;1468102261;187;
50;1468102261;237;
50;1468102261;287;
50;1468102261;337;
50;1468102261;387;
50;1468102261;437;
50;1468102261;487;
50;1468102261;537;
50;1468102261;587;
50;1468102261;637;
50;1468102261;687;
50;1468102261;737;
50;1468102261;787;
50;1468102261;837;
50;1468102261;887;
50;1468102261;937;
50;1468102261;987;
50;1468102262;37;
50;1468102262;87;
50;1468102262;137;
50;1468102262;187;
50;1468102262;237;
50;1468102262;287;
50;1468102262;337;
50;1468102262;387;
50;1468102262;437;
50;1468102262;487;
50;1468102262;537;
50;1468102262;587;
50;1468102262;637;
50;1468102262;692;
50;1468102262;737;
